index,pcm_t,pcm_h,SP4_t,SP4_h,SP6_t,SP6_h
1,39.95094,0.2897684,39.99458,-0.1963053,39.92532,-0.3439541
2,39.95115,0.2895963,39.99448,-0.19569,39.92512,-0.3433014
3,39.95032,0.2894216,39.99537,-0.1950768,39.92504,-0.3426502
4,39.95003,0.2892444,39.99489,-0.1944656,39.92554,-0.3420004
5,39.9516,0.289066,39.99526,-0.1938544,39.92529,-0.3413455
6,39.95075,0.2888862,39.99574,-0.1932364,39.92664,-0.3406859
7,39.95133,0.2887063,39.9951,-0.1926076,39.92615,-0.3400146
8,39.9516,0.2885275,39.99494,-0.1919663,39.92566,-0.3393074
9,39.9512,0.2883496,39.99402,-0.1912805,39.92572,-0.3383312
10,39.9505,0.2881728,39.99302,-0.1903256,39.92453,-0.3368814
11,39.94983,0.2879966,39.99271,-0.1888514,39.92416,-0.3346509
12,39.94861,0.2878223,39.99201,-0.1863886,39.92264,-0.3314316
13,39.94748,0.287653,39.98972,-0.1828992,39.92156,-0.3277245
14,39.9455,0.2874952,39.9882,-0.1788188,39.91889,-0.3236391
15,39.94353,0.2873549,39.98598,-0.1738463,39.91759,-0.3192718
16,39.9403,0.2872456,39.98266,-0.1684889,39.91454,-0.3144848
17,39.9371,0.2871745,39.97965,-0.1626721,39.9094,-0.3096374
18,39.93314,0.2871579,39.97531,-0.1555724,39.90693,-0.3043918
19,39.92781,0.287235,39.97076,-0.1476581,39.90261,-0.2990408
20,39.92383,0.2876262,39.96636,-0.138798,39.89602,-0.2936496
21,39.91845,0.2887902,39.96111,-0.128823,39.89034,-0.2878142
22,39.9125,0.2917786,39.95532,-0.1167964,39.88403,-0.2803627
23,39.90647,0.2971046,39.94712,-0.1023893,39.87724,-0.2713732
24,39.89988,0.3059288,39.94043,-0.08754522,39.86956,-0.2615989
25,39.89224,0.3192521,39.9323,-0.0704934,39.8618,-0.2504239
26,39.88426,0.3366693,39.9251,-0.05250339,39.85333,-0.2383134
27,39.8756,0.3592338,39.91614,-0.03303078,39.844,-0.2253054
28,39.86615,0.381393,39.9072,-0.01333522,39.83467,-0.2099332
29,39.85869,0.4039922,39.89769,0.008483461,39.82589,-0.194451
30,39.84881,0.42998,39.88829,0.02918877,39.81658,-0.1771465
31,39.83949,0.4515182,39.87852,0.0493766,39.80522,-0.1585177
32,39.8299,0.4754829,39.86895,0.07159869,39.79395,-0.1394838
33,39.81855,0.5009666,39.85881,0.09471038,39.78386,-0.1205573
34,39.80926,0.5294152,39.84717,0.1188228,39.77325,-0.1018361
35,39.79836,0.5563444,39.83675,0.1432195,39.76294,-0.08249972
36,39.78796,0.5849786,39.82606,0.1702105,39.7502,-0.0631213
37,39.77612,0.615317,39.8135,0.1973869,39.73905,-0.04292754
38,39.76539,0.6447664,39.8022,0.22381,39.72704,-0.02158497
39,39.75339,0.6758216,39.79101,0.2502703,39.71534,1.78E-04
40,39.7427,0.7069882,39.77995,0.2781143,39.70363,0.02302739
41,39.73012,0.7402915,39.7659,0.3073418,39.6898,0.04516084
42,39.71829,0.7717793,39.7538,0.3347783,39.6782,0.06733149
43,39.70632,0.8042431,39.74203,0.3621655,39.66612,0.09163901
44,39.69436,0.8374356,39.72876,0.3905287,39.65238,0.1151067
45,39.68112,0.8685778,39.7156,0.4184596,39.63931,0.1377594
46,39.66875,0.9020422,39.70316,0.4457978,39.62692,0.1623513
47,39.65674,0.9331351,39.6905,0.4732346,39.6137,0.1857205
48,39.64435,0.9652532,39.67703,0.5004615,39.59972,0.2087438
49,39.63036,0.9969388,39.66363,0.528269,39.58633,0.2328294
50,39.61783,1.02776,39.64967,0.5541863,39.57194,0.2569151
51,39.60489,1.060532,39.63643,0.580882,39.5582,0.2792468
52,39.59154,1.091255,39.62236,0.6081089,39.54536,0.3036538
53,39.57722,1.121075,39.60938,0.6314568,39.53126,0.326035
54,39.5642,1.15029,39.5947,0.6585847,39.51758,0.3505778
55,39.55022,1.178616,39.58014,0.6845637,39.5041,0.3732924
56,39.53698,1.209449,39.5675,0.7082574,39.48919,0.3965134
57,39.52238,1.236662,39.55188,0.7316174,39.47522,0.417437
58,39.5087,1.264147,39.53782,0.7548909,39.46088,0.4409298
59,39.49482,1.291904,39.52382,0.7793625,39.44678,0.4627304
60,39.48011,1.31887,39.50967,0.8022651,39.43195,0.4847037
61,39.46697,1.344885,39.49414,0.8241424,39.41722,0.5060594
62,39.45234,1.371801,39.47939,0.8463282,39.40302,0.5275512
63,39.43782,1.397519,39.46474,0.8680569,39.388,0.5478816
64,39.42348,1.420939,39.45026,0.8887976,39.37344,0.568348
65,39.40886,1.445719,39.4353,0.9086486,39.3582,0.5890735
66,39.394,1.469694,39.42056,0.9285363,39.34425,0.6087741
67,39.379,1.49362,39.40426,0.9476454,39.329,0.6278443
68,39.36421,1.515768,39.3902,0.9685584,39.31412,0.647594
69,39.34951,1.53768,39.37406,0.9867162,39.29856,0.6664418
70,39.33553,1.559692,39.36034,1.004615,39.28388,0.6845239
71,39.32024,1.580529,39.34523,1.022365,39.26838,0.701568
72,39.30511,1.600217,39.3296,1.040498,39.25378,0.7198106
73,39.29019,1.619992,39.3137,1.056135,39.23916,0.7368426
74,39.27544,1.639,39.29802,1.072884,39.223,0.7538989
75,39.26004,1.658281,39.28308,1.088645,39.2084,0.7698438
76,39.24542,1.676475,39.26777,1.103973,39.19243,0.7875544
77,39.23005,1.694964,39.25191,1.118684,39.17837,0.8027086
78,39.2151,1.711452,39.23746,1.135284,39.16296,0.8183442
79,39.19981,1.728756,39.22128,1.149068,39.14675,0.8336957
80,39.18469,1.745516,39.20586,1.162419,39.13172,0.8477257
81,39.169,1.76057,39.1903,1.175882,39.11649,0.8635834
82,39.15439,1.775131,39.17406,1.188936,39.09982,0.8780822
83,39.13824,1.790556,39.15915,1.201657,39.08574,0.8902719
84,39.12292,1.803906,39.14324,1.214378,39.07008,0.9034491
85,39.10722,1.81775,39.12734,1.225122,39.05469,0.9167374
86,39.0923,1.830779,39.11136,1.23599,39.03834,0.9292475
87,39.07692,1.8434,39.09505,1.247364,39.02313,0.9415106
88,39.0615,1.857058,39.07937,1.259516,39.00722,0.9543542
89,39.04607,1.869456,39.06389,1.271175,38.99142,0.9658141
90,39.02915,1.881397,39.04822,1.279819,38.97603,0.9775211
91,39.01406,1.891868,39.03302,1.290575,38.9606,0.9900803
92,38.99853,1.904056,39.01628,1.299824,38.94662,1.00033
93,38.98381,1.91428,39.00105,1.30974,38.92964,1.009924
94,38.96744,1.924725,38.98484,1.318198,38.91425,1.019655
95,38.95176,1.934862,38.9693,1.328163,38.89774,1.03025
96,38.93641,1.944246,38.95325,1.335941,38.8827,1.040276
97,38.9206,1.953654,38.9368,1.344548,38.86731,1.05013
98,38.9047,1.962654,38.921,1.352685,38.8513,1.059404
99,38.88938,1.97053,38.90518,1.36139,38.83602,1.069245
100,38.87354,1.978444,38.89042,1.368402,38.8195,1.077542
101,38.85654,1.987158,38.87229,1.375452,38.80322,1.085766
102,38.8417,1.995084,38.85666,1.382847,38.78814,1.093915
103,38.82576,2.002355,38.84165,1.390155,38.77225,1.102114
104,38.80966,2.009613,38.82538,1.39626,38.75583,1.109312
105,38.7934,2.017304,38.80917,1.402626,38.74028,1.116375
106,38.77889,2.022668,38.79314,1.408401,38.72445,1.123909
107,38.76222,2.029378,38.7774,1.415248,38.70932,1.132036
108,38.74675,2.034789,38.76113,1.421218,38.69289,1.137357
109,38.7308,2.040674,38.74469,1.427005,38.67703,1.1444
110,38.71547,2.046961,38.7295,1.432694,38.6611,1.15145
111,38.69887,2.052256,38.71232,1.437164,38.64576,1.156812
112,38.6829,2.057892,38.69678,1.441448,38.62967,1.162923
113,38.66683,2.062972,38.68058,1.446588,38.61416,1.169428
114,38.65098,2.067614,38.66382,1.452422,38.59761,1.175572
115,38.63584,2.072858,38.64838,1.457774,38.58238,1.18072
116,38.61958,2.076813,38.63275,1.462258,38.56588,1.184831
117,38.60413,2.081045,38.61576,1.466668,38.54955,1.190744
118,38.58763,2.085475,38.60047,1.470668,38.53414,1.196431
119,38.57113,2.088888,38.5835,1.475331,38.51786,1.201872
120,38.55618,2.091888,38.567,1.479713,38.50221,1.206105
121,38.53938,2.094998,38.55174,1.483674,38.48567,1.210148
122,38.52316,2.098372,38.53544,1.48809,38.4701,1.21519
123,38.50652,2.102514,38.51994,1.491672,38.45331,1.218978
124,38.49121,2.105759,38.50316,1.49501,38.43766,1.222788
125,38.47538,2.108726,38.48697,1.49905,38.42146,1.227195
126,38.45939,2.11125,38.47044,1.502334,38.40613,1.231158
127,38.44346,2.113905,38.45385,1.505662,38.3902,1.234448
128,38.42656,2.116946,38.43784,1.50932,38.37306,1.237795
129,38.41033,2.119904,38.42163,1.512528,38.35782,1.241432
130,38.39415,2.122498,38.40631,1.515564,38.34209,1.244958
131,38.37831,2.124596,38.38971,1.518768,38.32522,1.248214
132,38.36312,2.12655,38.37326,1.521687,38.31,1.251296
133,38.3467,2.128483,38.35752,1.524762,38.29408,1.254644
134,38.33028,2.130678,38.34117,1.527687,38.27698,1.257973
135,38.31492,2.132762,38.32456,1.530167,38.26133,1.260974
136,38.29833,2.134576,38.30858,1.532753,38.24537,1.26372
137,38.28242,2.136314,38.29324,1.535237,38.2291,1.266906
138,38.26534,2.138138,38.27598,1.537834,38.21322,1.269734
139,38.25012,2.139862,38.25908,1.540172,38.19769,1.272377
140,38.23363,2.141336,38.24392,1.543067,38.18126,1.27439
141,38.21722,2.142784,38.228,1.546155,38.16565,1.276724
142,38.2007,2.144232,38.21063,1.548636,38.14906,1.279093
143,38.18594,2.145365,38.19511,1.551081,38.1332,1.281426
144,38.16942,2.146417,38.179,1.553726,38.11716,1.28364
145,38.1529,2.147434,38.16197,1.556155,38.10037,1.285946
146,38.13752,2.148399,38.14548,1.558306,38.08426,1.287806
147,38.11988,2.149297,38.12989,1.560404,38.06828,1.289755
148,38.10472,2.150156,38.11398,1.562498,38.05184,1.291763
149,38.08854,2.150928,38.09823,1.564698,38.0362,1.29372
150,38.07264,2.151684,38.08086,1.567119,38.01984,1.295524
151,38.05634,2.152421,38.06495,1.569358,38.00462,1.297368
152,38.04105,2.153072,38.04926,1.571016,37.9877,1.299091
153,38.02475,2.15365,38.03229,1.572959,37.97216,1.300636
154,38.00833,2.154224,38.01566,1.575066,37.9548,1.302517
155,37.99197,2.154827,38.00029,1.577202,37.93907,1.304008
156,37.97506,2.155417,37.98384,1.579075,37.9239,1.305396
157,37.95912,2.155923,37.9675,1.580814,37.90761,1.306741
158,37.94313,2.156394,37.95044,1.582586,37.89152,1.308176
159,37.92595,2.156802,37.93514,1.584301,37.87512,1.309571
160,37.91139,2.15717,37.91844,1.586075,37.858,1.31084
161,37.89405,2.157492,37.90176,1.587741,37.84262,1.312223
162,37.87844,2.15777,37.8864,1.589464,37.8261,1.313492
163,37.8624,2.158033,37.86938,1.59108,37.81009,1.314658
164,37.84537,2.158275,37.85312,1.592573,37.79383,1.31578
165,37.8296,2.158496,37.83703,1.594365,37.77807,1.316762
166,37.81348,2.15872,37.82146,1.596418,37.76172,1.317721
167,37.79688,2.158947,37.8053,1.59796,37.74636,1.318594
168,37.78095,2.159177,37.78849,1.59949,37.72952,1.319384
169,37.76438,2.159406,37.77271,1.601077,37.71289,1.320112
170,37.74907,2.159636,37.756,1.602664,37.69674,1.320828
171,37.73317,2.159868,37.73994,1.604286,37.68023,1.321526
172,37.7164,2.160102,37.72297,1.60584,37.66491,1.322156
173,37.70068,2.160336,37.70648,1.607392,37.64858,1.322788
174,37.68441,2.160571,37.69102,1.608902,37.63216,1.323425
175,37.66734,2.160806,37.67479,1.610346,37.6166,1.324058
176,37.65153,2.161042,37.65876,1.611784,37.60042,1.324723
177,37.63567,2.161278,37.64189,1.613164,37.58368,1.325385
178,37.6198,2.161515,37.62585,1.614529,37.5679,1.325981
179,37.60282,2.161752,37.6098,1.615832,37.55085,1.326591
180,37.58688,2.161987,37.59329,1.617228,37.53468,1.32722
181,37.56991,2.16222,37.57639,1.618604,37.51903,1.32779
182,37.55447,2.162451,37.56036,1.619887,37.50187,1.328338
183,37.53826,2.16268,37.54489,1.621147,37.4869,1.328837
184,37.52149,2.162906,37.52738,1.6226,37.4695,1.329291
185,37.50544,2.163131,37.51132,1.624106,37.45469,1.329742
186,37.48865,2.163354,37.49539,1.625491,37.43829,1.330183
187,37.4734,2.163576,37.47965,1.626804,37.42122,1.330641
188,37.45561,2.163797,37.46322,1.628196,37.40506,1.331097
189,37.43991,2.164018,37.44684,1.629548,37.38951,1.331542
190,37.423,2.164234,37.42988,1.630794,37.37334,1.331991
191,37.40808,2.164449,37.414,1.632162,37.35716,1.332396
192,37.39124,2.164661,37.39746,1.633574,37.3405,1.332774
193,37.37498,2.16487,37.3812,1.635025,37.32439,1.333148
194,37.35914,2.165076,37.36506,1.636506,37.30787,1.333514
195,37.34294,2.16528,37.34881,1.637808,37.2924,1.33388
196,37.32703,2.16548,37.33153,1.639047,37.27566,1.334247
197,37.31008,2.165678,37.3161,1.64022,37.25935,1.334617
198,37.29374,2.165874,37.29994,1.641441,37.24362,1.334995
199,37.2785,2.166067,37.28271,1.642606,37.22649,1.335375
200,37.2615,2.166258,37.2669,1.643756,37.2106,1.335759
201,37.24565,2.166447,37.25126,1.645015,37.19454,1.336145
202,37.22866,2.166634,37.23413,1.646295,37.17805,1.336531
203,37.21244,2.166817,37.21798,1.647583,37.16186,1.336918
204,37.19704,2.166999,37.20146,1.648752,37.14558,1.337304
205,37.18078,2.167178,37.18462,1.649905,37.12969,1.337691
206,37.16434,2.167356,37.16936,1.65116,37.11377,1.338076
207,37.14784,2.16753,37.1522,1.652343,37.09653,1.33846
208,37.13232,2.167703,37.13644,1.653463,37.08024,1.338845
209,37.11512,2.167873,37.11966,1.654547,37.0638,1.339237
210,37.09819,2.16804,37.10381,1.65565,37.04813,1.339632
211,37.0827,2.168205,37.08752,1.656871,37.0315,1.340027
212,37.06576,2.168367,37.071,1.658197,37.01532,1.340422
213,37.04934,2.168527,37.05492,1.659486,36.9994,1.340816
214,37.03319,2.168684,37.03894,1.660699,36.98333,1.34121
215,37.01712,2.168839,37.02265,1.661944,36.96714,1.341604
216,37.00116,2.168991,37.00645,1.663273,36.95087,1.341996
217,36.98509,2.169141,36.98887,1.664531,36.9345,1.342386
218,36.96813,2.169289,36.973,1.665746,36.91852,1.342775
219,36.95236,2.169434,36.95664,1.666987,36.90236,1.343167
220,36.93597,2.169576,36.94037,1.668213,36.88582,1.343558
221,36.91996,2.169716,36.92392,1.669428,36.86892,1.343951
222,36.90381,2.169853,36.90756,1.670538,36.853,1.344345
223,36.88667,2.169989,36.89092,1.67166,36.83608,1.344739
224,36.87063,2.170121,36.87515,1.672798,36.82032,1.345136
225,36.85469,2.170252,36.85835,1.673868,36.80412,1.345531
226,36.8385,2.17038,36.84164,1.674929,36.78876,1.345925
227,36.82222,2.170505,36.82652,1.676046,36.7723,1.346316
228,36.80508,2.170628,36.80987,1.677198,36.75472,1.346704
229,36.78923,2.170748,36.79265,1.678348,36.73865,1.347087
230,36.77204,2.170866,36.77714,1.679374,36.72278,1.347467
231,36.7571,2.170982,36.7605,1.68036,36.70626,1.347847
232,36.74011,2.171095,36.7442,1.681333,36.69025,1.348222
233,36.72391,2.171204,36.72795,1.682327,36.67413,1.348595
234,36.70833,2.171311,36.71106,1.683517,36.65801,1.348965
235,36.6915,2.171415,36.69443,1.684908,36.64105,1.349332
236,36.67467,2.171516,36.67896,1.686248,36.62558,1.349697
237,36.65824,2.171616,36.66306,1.687486,36.60907,1.350059
238,36.64166,2.171713,36.64628,1.688705,36.59262,1.350419
239,36.62544,2.171806,36.6302,1.689882,36.57553,1.350776
240,36.6096,2.171896,36.61325,1.690961,36.55958,1.351131
241,36.59288,2.171982,36.59698,1.691968,36.54324,1.351484
242,36.57616,2.172066,36.58074,1.692911,36.52708,1.351834
243,36.56082,2.172146,36.5646,1.693828,36.51128,1.352183
244,36.5442,2.172224,36.54859,1.694779,36.494,1.352528
245,36.5275,2.172301,36.53188,1.69577,36.47885,1.352872
246,36.5116,2.172375,36.51549,1.696764,36.46204,1.353213
247,36.495,2.172446,36.49905,1.697844,36.44553,1.353552
248,36.47895,2.172516,36.48225,1.698858,36.42886,1.353889
249,36.46175,2.172583,36.4665,1.699806,36.41249,1.354225
250,36.44693,2.172647,36.44931,1.700777,36.39686,1.354559
251,36.42975,2.172708,36.4335,1.701825,36.38042,1.354894
252,36.414,2.172768,36.41698,1.702883,36.36375,1.355227
